央视频道,#genre#
CCTV-1综合,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8
CCTV-2财经,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8
CCTV-3综艺,http://150.138.8.143/00/SNM/CHANNEL00000359/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000003/index.m3u8
CCTV-4中文国际,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8
CCTV-5体育,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL30000005/index.m3u8
CCTV-5+体育赛事,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8
CCTV-6电影,http://150.138.8.143/00/SNM/CHANNEL00000361/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000006/index.m3u8
CCTV-7国防军事,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8
CCTV-8电视剧,http://150.138.8.143/00/SNM/CHANNEL00000362/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000008/index.m3u8
CCTV-9纪录,http://150.138.8.143/00/SNM/CHANNEL00000319/index.m3u8
CCTV-10科教,http://150.138.8.143/00/SNM/CHANNEL00000321/index.m3u8
CCTV-11戏曲,http://150.138.8.143/00/SNM/CHANNEL00000344/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000011/index.m3u8
CCTV-12社会与法,http://150.138.8.143/00/SNM/CHANNEL00000322/index.m3u8
CCTV-13新闻,http://150.138.8.143/00/SNM/CHANNEL00000345/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000013/index.m3u8
CCTV-14少儿,http://150.138.8.143/00/SNM/CHANNEL00000323/index.m3u8
CCTV-15音乐,http://150.138.8.143/00/SNM/CHANNEL00000346/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000015/index.m3u8
CCTV-16奥林匹克,http://150.138.8.143/00/SNM/CHANNEL00000364/index.m3u8
CCTV17,http://150.138.8.143/00/SNM/CHANNEL00000303/index.m3u8
CCTV-4欧洲,http://150.138.8.143/00/SNM/CHANNEL00000350/index.m3u8
CCTV-4美洲,http://150.138.8.143/00/SNM/CHANNEL00000351/index.m3u8
CGTN,http://150.138.8.143/00/SNM/CHANNEL00000352/index.m3u8
CGTN英文记录片,http://150.138.8.143/00/SNM/CHANNEL00000353/index.m3u8
CGTN西班牙语,http://150.138.8.143/00/SNM/CHANNEL00000354/index.m3u8
CGTN法语,http://150.138.8.143/00/SNM/CHANNEL00000355/index.m3u8
CGTN阿拉伯语,http://150.138.8.143/00/SNM/CHANNEL00000356/index.m3u8
CGTN俄语,http://150.138.8.143/00/SNM/CHANNEL00000357/index.m3u8

卫视频道,#genre#
山东卫视,http://150.138.8.143/00/SNM/CHANNEL00000301/index.m3u8
北京卫视,http://150.138.8.143/00/SNM/CHANNEL00000302/index.m3u8
湖南卫视,http://150.138.8.143/00/SNM/CHANNEL00000324/index.m3u8
江苏卫视,http://150.138.8.143/00/SNM/CHANNEL00000304/index.m3u8
浙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000305/index.m3u8
黑龙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000306/index.m3u8
广东卫视,http://150.138.8.143/00/SNM/CHANNEL00000307/index.m3u8
深圳卫视,http://150.138.8.143/00/SNM/CHANNEL00000308/index.m3u8
东方卫视,http://150.138.8.143/00/SNM/CHANNEL00000309/index.m3u8
东南卫视,http://150.138.8.143/00/SNM/CHANNEL00000310/index.m3u8
安徽卫视,http://150.138.8.143/00/SNM/CHANNEL00000328/index.m3u8
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000341/index.m3u8
海南卫视,http://150.138.8.143/00/SNM/CHANNEL00000347/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000030/index.m3u8
四川卫视,http://150.138.8.143/00/SNM/CHANNEL00000348/index.m3u8
甘肃卫视,http://150.138.8.143/00/SNM/CHANNEL00000349/index.m3u8
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000358/index.m3u8
天津卫视,http://iptv.tvfix.org/hls/tjhd.m3u8#http://129.226.107.225/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225588/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000021/index.m3u8
辽宁卫视,http://iptv.tvfix.org/hls/lnhd.m3u8#http://129.226.107.225/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225593/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000026/index.m3u8
陕西卫视,http://150.138.8.143/00/SNM/CHANNEL00000029/index.m3u8
湖北卫视,http://iptv.tvfix.org/hls/hbhd.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000031/index.m3u8
山西卫视,http://150.138.8.143/00/SNM/CHANNEL00000032/index.m3u8
河北卫视,http://iptv.tvfix.org/hls/hebhd.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000034/index.m3u8
江西卫视,http://iptv.tvfix.org/hls/jxhd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000035/index.m3u8
吉林卫视,http://iptv.tvfix.org/hls/jlhd.m3u8#http://129.226.107.225/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225598/1.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000036/index.m3u8
广西卫视,http://iptv.tvfix.org/hls/gxhd.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000038/index.m3u8
云南卫视,http://150.138.8.143/00/SNM/CHANNEL00000039/index.m3u8
内蒙古卫视,http://150.138.8.143/00/SNM/CHANNEL00000040/index.m3u8
贵州卫视,http://iptv.tvfix.org/hls/gzhd.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000041/index.m3u8
